January 1,Ezra 1 | Acts 1
July 8,Jeremiah 4 | Matthew 18 
July 9,Jeremiah 5 | Matthew 19 
July 10,Jeremiah 6 | Matthew 20 
July 11,Jeremiah 7 | Matthew 21 
July 12,Jeremiah 8 | Matthew 22 
July 13,Jeremiah 9 | Matthew 23 
July 14,Jeremiah 10 | Matthew 24 
July 15,Jeremiah 11 | Matthew 25 
July 16,Jeremiah 12 | Matthew 26 
July 17,Jeremiah 13 | Matthew 27 
July 18,Jeremiah 14 | Matthew 28 
July 19,Jeremiah 15 | Mark 1 
July 20,Jeremiah 16 | Mark 2 
July 21,Jeremiah 17 | Mark 3 
July 22,Jeremiah 18 | Mark 4 
July 23,Jeremiah 19 | Mark 5 
July 24,Jeremiah 20 | Mark 6 
July 25,Jeremiah 21 | Mark 7 
July 26,Jeremiah 22 | Mark 8 
July 27,Jeremiah 23 | Mark 9 
July 28,Jeremiah 24 | Mark 10 
July 29,Jeremiah 25 | Mark 11 
July 30,Jeremiah 26 | Mark 12 
July 31,Jeremiah 27 | Mark 13
August 1,Jeremiah 28 | Mark 14 
August 2,Jeremiah 29 | Mark 15 
August 3,Jeremiah 30-31 | Mark 16 
August 4,Jeremiah 32 | Psalm 1-2 
August 5,Jeremiah 33 | Psalm 3-4 
August 6,Jeremiah 34 | Psalm 5-6 
August 7,Jeremiah 35 | Psalm 7-8 
August 8,Jeremiah 36 | Jeremiah 45 | Psalm 9 
August 9,Jeremiah 37 | Psalm 10 
August 10,Jeremiah 38 | Psalm 11-12 
August 11,Jeremiah 39 | Psalm 13-14 
August 12,Jeremiah 40 | Psalm 15-16 
August 13,Jeremiah 41 | Psalm 17 
August 14,Jeremiah 42 | Psalm 18 
August 15,Jeremiah 43 | Psalm 19 
August 16,Jeremiah 44 | Psalm 20-21 
August 17,Jeremiah 46 | Psalm 22 
August 18,Jeremiah 47 | Psalm 23-24 
August 19,Jeremiah 48 | Psalm 25 
August 20,Jeremiah 49 | Psalm 26-27 
August 21,Jeremiah 50 | Psalm 28-29 
August 22,Jeremiah 51 | Psalm 30 
August 23,Jeremiah 52 | Psalm 31 
August 24,Lamentations 1 | Psalm 32 
August 25,Lamentations 2 | Psalm 33 
August 26,Lamentations 3 | Psalm 34 
August 27,Lamentations 4 | Psalm 35 
August 28,Lamentations 5 | Psalm 36 
August 29,Ezekiel 1 | Psalm 37 
August 30,Ezekiel 2 | Psalm 38 
August 31,Ezekiel 3 | Psalm 39
September 1,Ezekiel 4 | Psalm 40-41 
September 2,Ezekiel 5 | Psalm 42-43 
September 3,Ezekiel 6 | Psalm 44 
September 4,Ezekiel 7 | Psalm 45 
September 5,Ezekiel 8 | Psalm 46-47 
September 6,Ezekiel 9 | Psalm 48 
September 7,Ezekiel 10 | Psalm 49 
September 8,Ezekiel 11 | Psalm 50 
September 9,Ezekiel 12 | Psalm 51 
September 10,Ezekiel 13 | Psalm 52-54 
September 11,Ezekiel 14 | Psalm 55 
September 12,Ezekiel 15 | Psalm 56-57 
September 13,Ezekiel 16 | Psalm 58-59 
September 14,Ezekiel 17 | Psalm 60-61 
September 15,Ezekiel 18 | Psalm 62-63 
September 16,Ezekiel 19 | Psalm 64-65 
September 17,Ezekiel 20 | Psalm 66-67 
September 18,Ezekiel 21 | Psalm 68 
September 19,Ezekiel 22 | Psalm 69 
September 20,Ezekiel 23 | Psalm 70-71 
September 21,Ezekiel 24 | Psalm 72 
September 22,Ezekiel 25 | Psalm 73 
September 23,Ezekiel 26 | Psalm 74 
September 24,Ezekiel 27 | Psalm 75-76 
September 25,Ezekiel 28 | Psalm 77 
September 26,Ezekiel 29 | Psalm 78:1-39 
September 27,Ezekiel 30 | Psalm 78:40-72 
September 28,Ezekiel 31 | Psalm 79 
September 29,Ezekiel 32 | Psalm 80 
September 30,Ezekiel 33 | Psalm 81-82
October 1,Ezekiel 34 | Psalm 83-84 
October 2,Ezekiel 35 | Psalm 85
October 3,Ezekiel 36 | Psalm 86
October 4,Ezekiel 37 | Psalm 87-88 
October 5,Ezekiel 38 | Psalm 89
October 6,Ezekiel 39 | Psalm 90
October 7,Ezekiel 40 | Psalm 91
October 8,Ezekiel 41 | Psalm 92-93 
October 9,Ezekiel 42 | Psalm 94
October 10,Ezekiel 43 | Psalm 95-96 
October 11,Ezekiel 44 | Psalm 97-98 
October 12,Ezekiel 45 | Psalm 99-101 
October 13,Ezekiel 46 | Psalm 102 
October 14,Ezekiel 47 | Psalm 103 
October 15,Ezekiel 48 | Psalm 104
October 16,Daniel 1 | Psalm 105
October 17,Daniel 2 | Psalm 106
October 18,Daniel 3 | Psalm 107
October 19,Daniel 4 | Psalm 108-109 
October 20,Daniel 5 | Psalm 110-111 
October 21,Daniel 6 | Psalm 112-113 
October 22,Daniel 7 | Psalm 114-115 
October 23,Daniel 8 | Psalm 116
October 24,Daniel 9 | Psalm 117-118 
October 25,Daniel 10 | Psalm 119:1-24 
October 26,Daniel 11 | Psalm 119:25-48 
October 27,Daniel 12 | Psalm 119:49-72 
October 28,Hosea 1 | Psalm 119:73-96 
October 29,Hosea 2 | Psalm 119:97-120 
October 30,Hosea 3-4 | Psalm 119:121-144 
October 31,Hosea 5-6 | Psalm 119:145-176
November 1,Hosea 7 | Psalm 120-122 
November 2,Hosea 8 | Psalm 123-125 
November 3,Hosea 9 | Psalm 126-128 
November 4,Hosea 10 | Psalm 129-131 
November 5,Hosea 11 | Psalm 132-134 
November 6,Hosea 12 | Psalm 135-136 
November 7,Hosea 13 | Psalm 137-138 
November 8,Hosea 14 | Psalm 139 
November 9,Joel 1 | Psalm 140-141 
November 10,Joel 2 | Psalm 142
November 11,Joel 3 | Psalm 143 
November 12,Amos 1 | Psalm 144 
November 13,Amos 2 | Psalm 145 
November 14,Amos 3 | Psalm 146-147 
November 15,Amos 4 | Psalm 148-150 
November 16,Amos 5 | Luke 1:1-38 
November 17,Amos 6 | Luke 1:39-80 
November 18,Amos 7 | Luke 2
November 19,Amos 8 | Luke 3 
November 20,Amos 9 | Luke 4 
November 21,Obadiah 1 | Luke 5 
November 22,Jonah 1 | Luke 6 
November 23,Jonah 2 | Luke 7 
November 24,Jonah 3 | Luke 8 
November 25,Jonah 4 | Luke 9 
November 26,Micah 1 | Luke 10 
November 27,Micah 2 | Luke 11 
November 28,Micah 3 | Luke 12 
November 29,Micah 4 | Luke 13 
November 30,Micah 5 | Luke 14
December 1,Micah 6 | Luke 15
December 2,Micah 7 | Luke 16
December 3,Nahum 1 | Luke 17
December 4,Nahum 2 | Luke 18
December 5,Nahum 3 | Luke 19 
December 6,Habakkuk 1 | Luke 20 
December 7,Habakkuk 2 | Luke 21 
December 8,Habakkuk 3 | Luke 22 
December 9,Zephaniah 1 | Luke 23 
December 10,Zephaniah 2 | Luke 24 
December 11,Zephaniah 3 | John 1 
December 12,Haggai 1 | John 2
December 13,Haggai 2 | John 3 
December 14,Zechariah 1 | John 4 
December 15,Zechariah 2 | John 5 
December 16,Zechariah 3 | John 6 
December 17,Zechariah 4 | John 7 
December 18,Zechariah 5 | John 8 
December 19,Zechariah 6 | John 9 
December 20,Zechariah 7 | John 10 
December 21,Zechariah 8 | John 11 
December 22,Zechariah 9 | John 12 
December 23,Zechariah 10 | John 13 
December 24,Zechariah 11 | John 14 
December 25,Zechariah 12:1-13:1 | John 15 
December 26,Zechariah 13:2-9 | John 16 
December 27,Zechariah 14 | John 17 
December 28,Malachi 1 | John 18
December 29,Malachi 2 | John 19 
December 30,Malachi 3 | John 20 
December 31,Malachi 4 | John 21
